,Semana,Recuperados,Fallecidos,Mortalidad,Cantidad vacunas,Total vacunas
0,01/03/2020,9,1,0.1,0,0
1,08/03/2020,49,8,0.140350877,0,0
2,15/03/2020,413,26,0.059225513,0,0
3,22/03/2020,995,63,0.059546314,0,0
4,29/03/2020,914,87,0.086913087,0,0
5,05/04/2020,928,75,0.074775673,0,0
6,12/04/2020,1103,75,0.063667233,0,0
7,19/04/2020,1423,91,0.06010568,0,0
8,26/04/2020,1945,135,0.064903846,0,0
9,03/05/2020,3191,175,0.051990493,0,0
10,10/05/2020,5083,248,0.046520353,0,0
11,17/05/2020,6560,315,0.045818182,0,0
12,24/05/2020,8820,375,0.040783034,0,0
13,31/05/2020,9683,508,0.049847905,0,0
14,07/06/2020,13673,828,0.05709951,0,0
15,14/06/2020,17888,1028,0.054345528,0,0
16,21/06/2020,25164,1269,0.048008172,0,0
17,28/06/2020,31101,1391,0.042810538,0,0
18,05/07/2020,41600,1863,0.042864045,0,0
19,12/07/2020,50324,2140,0.040789875,0,0
20,19/07/2020,55566,2211,0.038267823,0,0
21,26/07/2020,64988,2315,0.034396684,0,0
22,02/08/2020,64902,2534,0.037576369,0,0
23,09/08/2020,58428,2063,0.034104247,0,0
24,16/08/2020,55058,1890,0.033188172,0,0
25,23/08/2020,52826,1698,0.031142249,0,0
26,30/08/2020,45396,1275,0.027318892,0,0
27,06/09/2020,44123,1267,0.027913637,0,0
28,13/09/2020,42346,1258,0.028850564,0,0
29,20/09/2020,40523,1138,0.027315715,0,0
30,27/09/2020,42799,1112,0.025323951,0,0
31,04/10/2020,51488,1342,0.025402234,0,0
32,11/10/2020,47490,1289,0.026425306,0,0
33,18/10/2020,57863,1385,0.023376317,0,0
34,25/10/2020,59959,1392,0.022689117,0,0
35,01/11/2020,51374,1239,0.023549313,0,0
36,08/11/2020,47224,1172,0.024216877,0,0
37,15/11/2020,47873,1272,0.025882592,0,0
38,22/11/2020,48978,1208,0.024070458,0,0
39,29/11/2020,53863,1188,0.021579989,0,0
40,06/12/2020,61951,1624,0.025544632,0,0
41,13/12/2020,74896,1770,0.023087157,0,0
42,20/12/2020,81646,1964,0.023490013,0,0
43,27/12/2020,85294,2110,0.024140772,0,0
44,03/01/2021,101554,2673,0.025645946,0,0
45,10/01/2021,117935,3191,0.026344468,0,0
46,17/01/2021,81622,2144,0.02559511,0,0
47,24/01/2021,53562,1580,0.028653295,0,0
48,31/01/2021,36544,1084,0.028808334,0,0
49,07/02/2021,27170,757,0.027106385,0,0
50,14/02/2021,22500,681,0.029377507,0,0
51,21/02/2021,23408,741,0.0306845,49968,49968
52,28/02/2021,22573,703,0.030202784,242652,292620
53,07/03/2021,26143,817,0.030304154,1037615,1330235
54,14/03/2021,37734,1245,0.031940276,0,1330235
55,21/03/2021,54070,1863,0.033307707,912549,2242784
56,28/03/2021,70781,2192,0.030038507,733483,2976267
57,04/04/2021,86981,2934,0.032630818,486877,3463144
58,11/04/2021,111804,3680,0.031865886,551070,4014214
59,18/04/2021,110422,3649,0.031988849,1051070,5065284
60,25/04/2021,99580,3304,0.032113837,1461900,6527184
61,02/05/2021,82657,2928,0.034211603,2549900,9077084
62,09/05/2021,101865,3559,0.033758916,391950,9469034
63,16/05/2021,123286,3965,0.031158891,1074438,10543472
64,23/05/2021,131538,3765,0.027826434,1755892,12299364
65,30/05/2021,141965,3662,0.025146436,1940680,14240044
66,06/06/2021,142003,3949,0.027056841,0,14240044
67,13/06/2021,159006,3769,0.023154661,3901110,18141154
68,20/06/2021,154546,3008,0.019091867,1353770,19494924
